Young bought at an average of 222,222 mesos.
ZapZapZap bought at an average of 99,999 mesos.
JohnxXD bought at an average of 199,499 mesos.
B4ackninja bought at an average of 19,999 mesos.
NNFO12 bought at an average of 299,999 mesos.
DoggieStyle bought at an average of 9,999 mesos.
Kamus bought at an average of 24,999 mesos.
Kakuze bought at an average of 99,999 mesos.
LittleChick bought at an average of 49,999 mesos.
