Young bought at an average of 111,111 mesos.
Grissom bought at an average of 100,000 mesos.

Fray bought at an average of 199,999 mesos.

AIRY bought at an average of 149,999 mesos.
Fr33zingC01d bought at an average of 150,000 mesos.
AnySkywalker bought at an average of 100,000 mesos.
NightRaid bought at an average of 55,555 mesos.
Miori bought at an average of 48,885 mesos.

CallMeBS bought at an average of 99,999 mesos.
